company,bean_origin,bean_origin,review_date,cocoa_percent,company_location,rating,bean_origin,bean_origin
Burnt Fork Bend,Trinidad,Trinidad,2014,72%,U.S.A.,3.25,Trinidad,Trinidad
Burnt Fork Bend,Mindo,Ecuador,2014,72%,U.S.A.,3.5,Mindo,Ecuador
Burnt Fork Bend,Belize,Belize,2014,72%,U.S.A.,3.25,Belize,Belize
Burnt Fork Bend,"Ecuador, Bob Bar",Ecuador,2014,60%,U.S.A.,2.5,"Ecuador, Bob Bar",Ecuador
Cacao Arabuco,Puerto Rico,Puerto Rico,2015,70%,Puerto Rico,2.5,Puerto Rico,Puerto Rico
Cacao Atlanta,Tumbes,Peru,2014,75%,U.S.A.,2.5,Tumbes,Peru
Cacao Atlanta,"Dominican Republic, ""Love Bar""",Dominican Republic,2010,75%,U.S.A.,2.5,"Dominican Republic, ""Love Bar""",Dominican Republic
Cacao Atlanta,Dominican Republic w/ nibs,Dominican Republic,2010,75%,U.S.A.,2.75,Dominican Republic w/ nibs,Dominican Republic
Cacao Atlanta,Patanemo,Venezuela,2010,75%,U.S.A.,2.25,Patanemo,Venezuela
Cacao Barry,Grand 'Anse,Haiti,2016,65%,France,3.5,Grand 'Anse,Haiti
Cacao Barry,Santo Domingo,Dominican Republic,2010,70%,France,3.0,Santo Domingo,Dominican Republic
Cacao Barry,Tanzania,Tanzania,2008,75%,France,2.0,Tanzania,Tanzania
Cacao Barry,Venezuela,Venezuela,2007,72%,France,2.0,Venezuela,Venezuela
Cacao Barry,Mexico,Mexico,2007,66%,France,3.0,Mexico,Mexico
Cacao de Origen,Chuao,Venezuela,2015,77%,Venezuela,3.5,Chuao,Venezuela
Cacao de Origen,Rio Caribe,Venezuela,2015,75%,Venezuela,3.25,Rio Caribe,Venezuela
Cacao de Origen,Agua Fria; Sucre region,Venezuela,2014,75%,Venezuela,2.5,Agua Fria; Sucre region,Venezuela
Cacao de Origen,Macuare; Miranda; Chloe formula,Venezuela,2014,74%,Venezuela,3.25,Macuare; Miranda; Chloe formula,Venezuela
Cacao de Origen,"Chuao, Aragua region",Venezuela,2014,75%,Venezuela,3.5,"Chuao, Aragua region",Venezuela
Cacao de Origen,"Chuao, Aragua region",Venezuela,2014,70%,Venezuela,3.75,"Chuao, Aragua region",Venezuela
Cacao de Origin,Hacienda la Trinidad,Venezuela,2015,74%,Venezuela,3.25,Hacienda la Trinidad,Venezuela
Cacao Hunters,Macondo,Colombia,2016,71%,Colombia,3.75,Macondo,Colombia
Cacao Hunters,Perla Negra,Colombia,2016,74%,Colombia,3.75,Perla Negra,Colombia
Cacao Hunters,Arhuacos,Colombia,2015,72%,Colombia,3.75,Arhuacos,Colombia
Cacao Hunters,Sierra Nevada,Colombia,2014,64%,Colombia,3.5,Sierra Nevada,Colombia
Cacao Hunters,Tumaco,Colombia,2014,70%,Colombia,3.5,Tumaco,Colombia
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",Colombia,2014,69%,Colombia,2.75,"Boyaca, Aprocampa Coop, Pauna",Colombia
Cacao Hunters,Arauca,Colombia,2014,70%,Colombia,3.25,Arauca,Colombia
Cacao Market,"Jutiapa, lot 050916D",Honduras,2016,70%,U.S.A.,3.5,"Jutiapa, lot 050916D",Honduras
Cacao Prieto,"Criollo, Dominican Republic",Dominican Republic,2012,72%,U.S.A.,3.75,"Criollo, Dominican Republic",Dominican Republic
Cacao Prieto,"Dominican Republicm, rustic",Dominican Republic,2011,72%,U.S.A.,3.0,"Dominican Republicm, rustic",Dominican Republic
Cacao Prieto,Dominican Republic,Dominican Republic,2011,66%,U.S.A.,3.75,Dominican Republic,Dominican Republic
Cacao Prieto,"Dominican Republic, rustic",Dominican Republic,2011,65%,U.S.A.,3.25,"Dominican Republic, rustic",Dominican Republic
Cacao Sampaka,"Mahali, Kasai",Congo,2016,70%,Spain,3.5,"Mahali, Kasai",Congo
Cacao Sampaka,Madagascar,Madagascar,2010,71%,Spain,3.5,Madagascar,Madagascar
Cacao Sampaka,Ecuador,Ecuador,2010,71%,Spain,3.75,Ecuador,Ecuador
Cacao Sampaka,Papua,Papua New Guinea,2010,71%,Spain,4.0,Papua,Papua New Guinea
Cacao Sampaka,Grenada,Grenada,2010,71%,Spain,3.25,Grenada,Grenada
Cacao Sampaka,Venezuela,Venezuela,2010,71%,Spain,3.5,Venezuela,Venezuela
Cacao Sampaka,Venezuela,Venezuela,2010,77%,Spain,3.5,Venezuela,Venezuela
Cacao Sampaka,"Porcelana, Tabasco, La Joya",Mexico,2009,70%,Spain,4.0,"Porcelana, Tabasco, La Joya",Mexico
Cacao Sampaka,"Xoconusco, Chiapas",Mexico,2009,70%,Spain,4.0,"Xoconusco, Chiapas",Mexico
Cacao Store,Madagascar,Madagascar,2015,70%,Japan,3.0,Madagascar,Madagascar
Cacao Store,Peru,Peru,2015,70%,Japan,3.25,Peru,Peru
Cacao Store,Vietnam,Vietnam,2015,70%,Japan,3.5,Vietnam,Vietnam
Cacaosuyo (Theobroma Inversiones),Piura,Peru,2013,70%,Peru,3.25,Piura,Peru
Cacaoyere (Ecuatoriana),Amazonia,Ecuador,2008,63%,Ecuador,3.5,Amazonia,Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,Ecuador,2008,71%,Ecuador,3.5,Esmeraldas,Ecuador
Cacaoyere (Ecuatoriana),Bolivar,Ecuador,2008,82%,Ecuador,2.5,Bolivar,Ecuador
Cacaoyere (Ecuatoriana),Pichincha,Ecuador,2008,91%,Ecuador,1.5,Pichincha,Ecuador
Callebaut,Grenade,Grenada,2008,60%,Belgium,2.75,Grenade,Grenada
Callebaut,Baking,Ecuador,2007,70%,Belgium,1.0,Baking,Ecuador
C-Amaro,Cuba,Cuba,2014,75%,Italy,2.5,Cuba,Cuba
C-Amaro,Dominican Republic,Dominican Republic,2014,72%,Italy,3.0,Dominican Republic,Dominican Republic
C-Amaro,Ecuador,Ecuador,2013,100%,Italy,3.5,Ecuador,Ecuador
C-Amaro,Venezuela,Venezuela,2012,80%,Italy,3.0,Venezuela,Venezuela
C-Amaro,Sao Tome,Sao Tome,2011,78%,Italy,2.25,Sao Tome,Sao Tome
C-Amaro,Trinidad,Trinidad,2011,70%,Italy,2.5,Trinidad,Trinidad
Cao,Porcelana,Venezuela,2016,75%,U.S.A.,2.5,Porcelana,Venezuela
Cao,Tanzania,Tanzania,2016,73%,U.S.A.,2.75,Tanzania,Tanzania
Cao,"Porcelana, Batch 5163",Venezuela,2016,70%,U.S.A.,3.0,"Porcelana, Batch 5163",Venezuela
Cao,Bolivia,Bolivia,2016,75%,U.S.A.,3.0,Bolivia,Bolivia
Cao,Brazil,Brazil,2016,70%,U.S.A.,3.25,Brazil,Brazil
Caoni (Tulicorp),Esmeraldas,Ecuador,2008,77%,Ecuador,2.0,Esmeraldas,Ecuador
Caoni (Tulicorp),Manabi,Ecuador,2008,77%,Ecuador,2.5,Manabi,Ecuador
Caoni (Tulicorp),Los Rios,Ecuador,2008,77%,Ecuador,2.75,Los Rios,Ecuador
Caoni (Tulicorp),Manabi,Ecuador,2008,55%,Ecuador,3.0,Manabi,Ecuador
Caoni (Tulicorp),Los Rios,Ecuador,2008,55%,Ecuador,3.25,Los Rios,Ecuador
Caoni (Tulicorp),Esmeraldas,Ecuador,2008,55%,Ecuador,3.5,Esmeraldas,Ecuador
Captain Pembleton,"Saidor Estate, Madang P.",Papua New Guinea,2014,70%,New Zealand,3.5,"Saidor Estate, Madang P.",Papua New Guinea
Captain Pembleton,Kulili Estate,Papua New Guinea,2014,70%,New Zealand,3.75,Kulili Estate,Papua New Guinea
Caribeans,"Antigua, Special Reserve",Guatemala,2015,72%,Costa Rica,3.5,"Antigua, Special Reserve",Guatemala
Caribeans,"Talamanca, Raul-Kekoldo community",Costa Rica,2015,72%,Costa Rica,3.25,"Talamanca, Raul-Kekoldo community",Costa Rica
Caribeans,Anselmo Paraiso Estate,Costa Rica,2015,72%,Costa Rica,3.5,Anselmo Paraiso Estate,Costa Rica
Caribeans,Costa Rica,Costa Rica,2012,72%,Costa Rica,3.0,Costa Rica,Costa Rica
Caribeans,Costa Rica,Costa Rica,2012,80%,Costa Rica,2.75,Costa Rica,Costa Rica
Carlotta Chocolat,Arauca,Colombia,2016,65%,Colombia,3.0,Arauca,Colombia
Carlotta Chocolat,Tumaco,Colombia,2016,65%,Colombia,3.25,Tumaco,Colombia
Carlotta Chocolat,Cordoba,Colombia,2016,65%,Colombia,3.25,Cordoba,Colombia
Carlotta Chocolat,Huila,Colombia,2016,65%,Colombia,3.5,Huila,Colombia
Carlotta Chocolat,Cesar,Colombia,2016,65%,Colombia,3.5,Cesar,Colombia
Castronovo,"Maya Mtn, Batch 454, Heirloom",Belize,2016,72%,U.S.A.,4.0,"Maya Mtn, Batch 454, Heirloom",Belize
Castronovo,"the lost city, gracias a dias, batch 362",Honduras,2015,72%,U.S.A.,3.5,"the lost city, gracias a dias, batch 362",Honduras
Castronovo,"Duarte, Batch 360",Domincan Republic,2015,70%,U.S.A.,3.75,"Duarte, Batch 360",Domincan Republic
Castronovo,"Piaroa, Amazonas, Batch 350",Venezuela,2015,72%,U.S.A.,3.5,"Piaroa, Amazonas, Batch 350",Venezuela
Castronovo,Sierra Nevada,Colombia,2014,72%,U.S.A.,3.5,Sierra Nevada,Colombia
Castronovo,Arauca,Colombia,2014,76%,U.S.A.,3.5,Arauca,Colombia
Castronovo,Elvesia P.,Dominican Republic,2014,70%,U.S.A.,2.75,Elvesia P.,Dominican Republic
Castronovo,Bolivia,Bolivia,2013,70%,U.S.A.,3.0,Bolivia,Bolivia
Castronovo,Conacado,Dominican Republic,2013,73%,U.S.A.,3.5,Conacado,Dominican Republic
Castronovo,San Martin,Peru,2013,70%,U.S.A.,2.5,San Martin,Peru
Castronovo,"Guaniamo, Amazonas",Venezuela,2013,70%,U.S.A.,3.25,"Guaniamo, Amazonas",Venezuela
Castronovo,Nicaragua,Nicaragua,2013,72%,U.S.A.,3.25,Nicaragua,Nicaragua
Castronovo,Tumbes,Peru,2013,70%,U.S.A.,2.75,Tumbes,Peru
Castronovo,Guaniamo,Venezuela,2013,72%,U.S.A.,3.0,Guaniamo,Venezuela
Cello,Ecuador,Ecuador,2014,70%,U.S.A.,2.5,Ecuador,Ecuador
Cello,Peru,Peru,2014,70%,U.S.A.,2.75,Peru,Peru
Cello,Venezuela,Venezuela,2014,70%,U.S.A.,2.75,Venezuela,Venezuela
Cello,Bolivia,Bolivia,2014,70%,U.S.A.,3.0,Bolivia,Bolivia
Cemoi,Equateur,Ecuador,2009,72%,France,2.75,Equateur,Ecuador
Chaleur B,Uganda,Uganda,2014,70%,Canada,2.75,Uganda,Uganda
Charm School,Maya Mtn,Belize,2016,70%,U.S.A.,3.25,Maya Mtn,Belize
Chchukululu (Tulicorp),Arriba,Ecuador,2010,55%,Ecuador,2.75,Arriba,Ecuador
Chchukululu (Tulicorp),Los Rios,Ecuador,2008,75%,Ecuador,3.0,Los Rios,Ecuador
Chequessett,la Amistad,Costa Rica,2014,70%,U.S.A.,3.5,la Amistad,Costa Rica
Chocablog,Ecuador,Ecuador,2015,70%,U.K.,3.25,Ecuador,Ecuador
Choco Del Sol,Maya Mountain w/ nibs,Belize,2014,75%,Germany,3.0,Maya Mountain w/ nibs,Belize
Choco Del Sol,Maya Mountain,Belize,2014,82%,Germany,3.25,Maya Mountain,Belize
Choco Dong,"Mekong Delta, early 2014 Harvest",Vietnam,2015,70%,South Korea,2.75,"Mekong Delta, early 2014 Harvest",Vietnam
Choco Dong,"Tawau, Oct. 2015 Harvest",Malaysia,2015,70%,South Korea,3.5,"Tawau, Oct. 2015 Harvest",Malaysia
Chocolarder,Peru,Peru,2015,65%,U.K.,2.5,Peru,Peru
Chocolarder,Peru + nibs,Peru,2015,65%,U.K.,2.75,Peru + nibs,Peru
Chocolarder,Dominican Republic,Dominican Republic,2015,80%,U.K.,2.5,Dominican Republic,Dominican Republic
Chocola'te,Madagascar,Madagascar,2011,70%,U.S.A.,3.75,Madagascar,Madagascar
Chocola'te,Venezuela,Venezuela,2011,68%,U.S.A.,3.75,Venezuela,Venezuela
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",Peru,2016,90%,U.S.A.,2.5,"Tumbes, ""Zarumilla""",Peru
Chocolate Con Amor,Wild Bolivian,Bolivia,2016,70%,U.S.A.,2.5,Wild Bolivian,Bolivia
Chocolate Con Amor,Uganda,Uganda,2016,70%,U.S.A.,2.75,Uganda,Uganda
Chocolate Con Amor,Dominican Republic,Dominican Republic,2016,60%,U.S.A.,3.0,Dominican Republic,Dominican Republic
Chocolate Con Amor,Dominican Republic,Dominican Republic,2016,75%,U.S.A.,3.0,Dominican Republic,Dominican Republic
Chocolate Con Amor,Ocumare,Venezuela,2016,80%,U.S.A.,3.0,Ocumare,Venezuela
Chocolate Con Amor,Ecuador,Ecuador,2016,70%,U.S.A.,3.25,Ecuador,Ecuador
Chocolate Con Amor,Nicaragua,Nicaragua,2016,80%,U.S.A.,2.75,Nicaragua,Nicaragua
Chocolate Conspiracy,Peru,Peru,2014,74%,U.S.A.,2.75,Peru,Peru
Chocolate Makers,Tres Hombres,Dominican Republic,2015,75%,Amsterdam,3.25,Tres Hombres,Dominican Republic
Chocolate Makers,"Congo, Gorilla bar",Congo,2015,68%,Amsterdam,3.5,"Congo, Gorilla bar",Congo
Chocolate Makers,"Peru, Awagum bar",Peru,2015,80%,Amsterdam,3.75,"Peru, Awagum bar",Peru
"Chocolate Tree, The",Maranon,Peru,2015,69%,Scotland,3.75,Maranon,Peru
"Chocolate Tree, The",Carenero Superior,Venezuela,2015,80%,Scotland,3.75,Carenero Superior,Venezuela
"Chocolate Tree, The",Peru,Peru,2013,70%,Scotland,3.75,Peru,Peru
"Chocolate Tree, The",Ecuador,Ecuador,2012,82%,Scotland,2.5,Ecuador,Ecuador
"Chocolate Tree, The",Peru,Peru,2012,68%,Scotland,2.75,Peru,Peru
"Chocolate Tree, The",Madagascar,Madagascar,2012,72%,Scotland,3.25,Madagascar,Madagascar
Chocolats Privilege,Xoconusco,Mexico,2014,70%,Canada,2.5,Xoconusco,Mexico
ChocoReko,Patanemo,Venezuela,2015,77%,Japan,3.0,Patanemo,Venezuela
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",Mexico,2011,65%,Canada,3.25,"Chiapas, Lacandon Jungle, Oaxacom Mtn",Mexico
Chocovic,Xoconusco,Mexico,2010,71%,Spain,3.25,Xoconusco,Mexico
Chocovic,Sambirano,Madagascar,2010,71%,Spain,3.5,Sambirano,Madagascar
Chocovic,Ocumare,Venezuela,2008,71%,Spain,3.5,Ocumare,Venezuela
Chocovic,"Bolivar, Guaranda",Ecuador,2007,71%,Spain,2.5,"Bolivar, Guaranda",Ecuador
Chocovic,Guyave,Grenada,2007,71%,Spain,2.5,Guyave,Grenada
Chocovivo,Tabasco,Mexico,2015,65%,U.S.A.,2.5,Tabasco,Mexico
Chocovivo,Tabasco,Mexico,2015,75%,U.S.A.,2.5,Tabasco,Mexico
Choklat,Ocumare,Venezuela,2009,80%,Canada,2.5,Ocumare,Venezuela
Choklat,"Porcelana, Tabasco",Mexico,2009,70%,Canada,2.75,"Porcelana, Tabasco",Mexico
Choklat,Brazilian,Brazil,2009,70%,Canada,3.0,Brazilian,Brazil
Choklat,Brazilian,Brazil,2009,80%,Canada,3.0,Brazilian,Brazil
Choklat,Ocumare,Venezuela,2009,70%,Canada,3.0,Ocumare,Venezuela
Chokolat Elot (Girard),Guadeloupe,Martinique,2013,42%,Martinique,2.75,Guadeloupe,Martinique
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",Mexico,2016,75%,Canada,3.25,"Chiapas, Lacandon Jungle, Oaxacom Mtn",Mexico
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",Peru,2011,68%,Canada,3.75,"Maranon Canyon, Fortunato No. 4",Peru
Chuao Chocolatier,Choroni,Venezuela,2009,61%,U.S.A.,3.0,Choroni,Venezuela
Chuao Chocolatier (Pralus),Chuao,Venezuela,2010,77%,U.S.A.,2.75,Chuao,Venezuela
Claudio Corallo,Terreiro Velho P.,Sao Tome & Principe,2010,73.50%,Sao Tome,3.75,Terreiro Velho P.,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,Sao Tome & Principe,2008,80%,Sao Tome,3.0,Terreiro Velho P. w/ sugar crystals,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P.,Sao Tome & Principe,2008,75%,Sao Tome,4.0,Terreiro Velho P.,Sao Tome & Principe
Claudio Corallo,Principe,Sao Tome & Principe,2008,100%,Sao Tome,1.0,Principe,Sao Tome & Principe
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",Ecuador,2015,73%,U.S.A.,3.5,"Camino Verde P., Balao, Guayas, 2014",Ecuador
Coleman & Davis,Sambirano,Madagascar,2015,75%,U.S.A.,3.0,Sambirano,Madagascar
Compania de Chocolate (Salgado),Sur del Lago,Venezuela,2010,70%,Argentina,3.25,Sur del Lago,Venezuela
Compania de Chocolate (Salgado),Carenero Superior,Venezuela,2008,80%,Argentina,2.75,Carenero Superior,Venezuela
Compania de Chocolate (Salgado),Moxos,Bolivia,2008,72%,Argentina,3.25,Moxos,Bolivia
Compania de Chocolate (Salgado),Ocumare,Venezuela,2008,70%,Argentina,3.75,Ocumare,Venezuela
Compania de Chocolate (Salgado),Esmeraldas,Ecuador,2008,88%,Argentina,2.75,Esmeraldas,Ecuador
Condor,Camino Verde,Ecuador,2015,76%,U.S.A.,3.5,Camino Verde,Ecuador
Confluence,"Tien Giang, 2015, batch 10-2-16",Vietnam,2016,78%,U.S.A.,2.75,"Tien Giang, 2015, batch 10-2-16",Vietnam
Coppeneur,"Ecuador, Puristique",Ecuador,2013,65%,Germany,3.25,"Ecuador, Puristique",Ecuador
Coppeneur,Ghana Puristique,Ghana,2012,85%,Germany,3.5,Ghana Puristique,Ghana
Coppeneur,Ecuador Puristique,Ecuador,2012,100%,Germany,1.5,Ecuador Puristique,Ecuador
Coppeneur,Uba Budo,Sao Tome & Principe,2012,72%,Germany,3.75,Uba Budo,Sao Tome & Principe
Coppeneur,Madagascar,Madagascar,2012,70%,Germany,3.5,Madagascar,Madagascar
Coppeneur,Grenada,Grenada,2010,72%,Germany,3.25,Grenada,Grenada
Coppeneur,Chuao,Venezuela,2010,70%,Germany,3.0,Chuao,Venezuela
Coppeneur,"Los Rios, H. Iara",Ecuador,2010,72%,Germany,2.5,"Los Rios, H. Iara",Ecuador
Coppeneur,Trinidad,Trinidad,2010,72%,Germany,3.0,Trinidad,Trinidad
Coppeneur,Jamaica,Jamaica,2010,72%,Germany,3.25,Jamaica,Jamaica
Coppeneur,Ocumare 61,Venezuela,2010,72%,Germany,3.25,Ocumare 61,Venezuela
Coppeneur,"Porcelana, Apotequil",Peru,2009,72%,Germany,3.0,"Porcelana, Apotequil",Peru
Coppeneur,"Porcelana, Apotequil",Peru,2009,62%,Germany,3.25,"Porcelana, Apotequil",Peru
Coppeneur,Chuao 100hr,Venezuela,2009,70%,Germany,3.5,Chuao 100hr,Venezuela
Coppeneur,Chuao 70hr,Venezuela,2009,70%,Germany,3.75,Chuao 70hr,Venezuela
Coppeneur,"Porcelana, Tabasco, Mexico",Mexico,2008,72%,Germany,3.0,"Porcelana, Tabasco, Mexico",Mexico
Coppeneur,"Porcelana, Venezuela",Venezuela,2008,72%,Germany,3.0,"Porcelana, Venezuela",Venezuela
Coppeneur,"Sambirano, Menava P.",Madagascar,2007,72%,Germany,3.0,"Sambirano, Menava P.",Madagascar
Cravve,New Ireland,Papua New Guinea,2014,70%,Australia,2.5,New Ireland,Papua New Guinea
Cravve,"Vanuatu, batch 2410",Vanuatu,2014,83%,Australia,2.75,"Vanuatu, batch 2410",Vanuatu
Cravve,"Tanzania, batch a1",Tanzania,2012,75%,Australia,3.25,"Tanzania, batch a1",Tanzania
Cravve,"Bahia, batch a1213",Brazil,2012,65%,Australia,3.25,"Bahia, batch a1213",Brazil
Cravve,"Namau Village, N. Taileva P., batch a2812",Fiji,2012,67%,Australia,3.25,"Namau Village, N. Taileva P., batch a2812",Fiji
Cravve,Vanuatu,Vanuatu,2012,64%,Australia,3.25,Vanuatu,Vanuatu
Cravve,Djual Island,Papua New Guinea,2012,75%,Australia,3.5,Djual Island,Papua New Guinea
Creo,"""heirloom"", Arriba Nacional",Ecuador,2016,85%,U.S.A.,3.25,"""heirloom"", Arriba Nacional",Ecuador
Creo,"""heirloom"", Arriba Nacional",Ecuador,2016,73%,U.S.A.,3.75,"""heirloom"", Arriba Nacional",Ecuador
Daintree,Goodman Estate,Australia,2015,70%,Australia,2.75,Goodman Estate,Australia
Daintree,"Daintree Estates, N. Queensland",Australia,2011,70%,Australia,3.25,"Daintree Estates, N. Queensland",Australia
Dalloway,"Dominican Republic, batch 7",Dominican Republic,2017,72%,U.S.A.,2.75,"Dominican Republic, batch 7",Dominican Republic
Damson,Robson Estate,Trinidad,2015,70%,U.K.,3.0,Robson Estate,Trinidad
Damson,Los Rios,Ecuador,2015,70%,U.K.,3.5,Los Rios,Ecuador
Damson,Crayfish Bay aka Non Pariel Estate,Grenada,2015,70%,U.K.,2.25,Crayfish Bay aka Non Pariel Estate,Grenada
Damson,O'Payo,Nicaragua,2015,70%,U.K.,2.75,O'Payo,Nicaragua
Dandelion,"Maya Mtn., Break Bar- Snark",Belize,2015,70%,U.S.A.,3.0,"Maya Mtn., Break Bar- Snark",Belize
Dandelion,Maya Mountain,Belize,2014,70%,U.S.A.,3.5,Maya Mountain,Belize
Dandelion,"Camino Verde P., Balao, Guayas, 2013",Ecuador,2014,70%,U.S.A.,3.5,"Camino Verde P., Balao, Guayas, 2013",Ecuador
Dandelion,Buto,Liberia,2014,70%,U.S.A.,2.75,Buto,Liberia
Dandelion,"San Francisco de Macoris, Cibao region",Dominican Republic,2014,70%,U.S.A.,3.75,"San Francisco de Macoris, Cibao region",Dominican Republic
Dandelion,"Cumboto, farmer Jose Lugo",Venezuela,2013,70%,U.S.A.,2.75,"Cumboto, farmer Jose Lugo",Venezuela
Dandelion,Patanemo,Venezuela,2013,70%,U.S.A.,3.25,Patanemo,Venezuela
Dandelion,"Mantuano, 2012",Venezuela,2013,70%,U.S.A.,3.5,"Mantuano, 2012",Venezuela
Dandelion,Papua New Guinea,Papua New Guinea,2013,70%,U.S.A.,3.5,Papua New Guinea,Papua New Guinea
Dandelion,Upala,Costa Rica,2012,70%,U.S.A.,3.0,Upala,Costa Rica
Dandelion,Colombian,Colombia,2012,70%,U.S.A.,3.25,Colombian,Colombia
Dandelion,"Elvesia, 2011",Dominican Republic,2012,70%,U.S.A.,3.75,"Elvesia, 2011",Dominican Republic
Dandelion,Dominican Republic,Dominican Republic,2011,70%,U.S.A.,3.25,Dominican Republic,Dominican Republic
Dandelion,Madagascar,Madagascar,2011,70%,U.S.A.,3.25,Madagascar,Madagascar
Dandelion,Tanzania,Tanzania,2011,70%,U.S.A.,3.25,Tanzania,Tanzania
Danta,Los Ujuxtes,Guatemala,2014,82%,Guatemala,3.25,Los Ujuxtes,Guatemala
Danta,Chuao,Venezuela,2012,75%,Guatemala,3.0,Chuao,Venezuela
Danta,Los Ujuxtes,Guatemala,2012,70%,Guatemala,3.75,Los Ujuxtes,Guatemala
Danta,Sambirano,Madagascar,2012,70%,Guatemala,3.75,Sambirano,Madagascar
Danta,Las Acacias E.,Guatemala,2012,70%,Guatemala,4.0,Las Acacias E.,Guatemala
Danta,"Oscuro, Finca Chimelb",Guatemala,2012,70%,Guatemala,3.25,"Oscuro, Finca Chimelb",Guatemala
Danta,Los Ujuxtes,Guatemala,2011,60%,Guatemala,3.5,Los Ujuxtes,Guatemala
Danta,Las Acacias E.,Guatemala,2009,75%,Guatemala,3.0,Las Acacias E.,Guatemala
Danta,Las Acacias E.,Guatemala,2009,60%,Guatemala,3.25,Las Acacias E.,Guatemala
DAR,"Venezuela, batch 122",Venezuela,2016,72%,U.S.A.,2.75,"Venezuela, batch 122",Venezuela
DAR,Vietnam,Vietnam,2016,72%,U.S.A.,3.0,Vietnam,Vietnam
DAR,"DUO, batch 002","Ecuador, Costa Rica",2016,70%,U.S.A.,3.25,"DUO, batch 002","Ecuador, Costa Rica"
Dark Forest,Bolivia,Bolivia,2016,75%,U.S.A.,3.25,Bolivia,Bolivia
Dark Forest,Madagascar,Madagascar,2015,70%,U.S.A.,3.0,Madagascar,Madagascar
Dark Forest,Ocumare,Venezuela,2015,70%,U.S.A.,3.25,Ocumare,Venezuela
Dark Forest,Tanzania,Tanzania,2015,70%,U.S.A.,3.0,Tanzania,Tanzania
Dark Forest,Ecuador,Ecuador,2015,70%,U.S.A.,3.25,Ecuador,Ecuador
Davis,Ghana,Ghana,2013,70%,U.S.A.,2.5,Ghana,Ghana
Davis,Rainforest,Dominican Republic,2013,70%,U.S.A.,2.75,Rainforest,Dominican Republic
Davis,Venezuela,Venezuela,2013,70%,U.S.A.,2.75,Venezuela,Venezuela
Davis,West Africa,West Africa,2012,58%,U.S.A.,3.25,West Africa,West Africa
De Mendes,"Nativo, Varzea",Brazil,2015,72%,Brazil,3.5,"Nativo, Varzea",Brazil
De Mendes,"Selvagem, Jari",Brazil,2015,65%,Brazil,3.5,"Selvagem, Jari",Brazil
De Villiers,Bundibugyo District,Uganda,2016,70%,South Africa,2.5,Bundibugyo District,Uganda
De Villiers,"Sambirano Valley, batch 2477",Madagascar,2016,70%,South Africa,3.0,"Sambirano Valley, batch 2477",Madagascar
Dean and Deluca (Belcolade),Madagascar,Madagascar,2007,66%,U.S.A.,2.5,Madagascar,Madagascar
Dean and Deluca (Belcolade),Costa Rica,Costa Rica,2007,64%,U.S.A.,3.0,Costa Rica,Costa Rica
Dean and Deluca (Belcolade),Ecuador,Ecuador,2007,71%,U.S.A.,3.0,Ecuador,Ecuador
Dean and Deluca (Belcolade),Ghana,Ghana,2007,60%,U.S.A.,3.0,Ghana,Ghana
Dean and Deluca (Belcolade),Papua New Guinea,Papua New Guinea,2007,64%,U.S.A.,3.0,Papua New Guinea,Papua New Guinea
Dean and Deluca (Belcolade),Peru,Peru,2007,64%,U.S.A.,3.0,Peru,Peru
Debauve & Gallais (Michel Cluizel),Papua New Guinea,Papua New Guinea,2009,64%,France,3.0,Papua New Guinea,Papua New Guinea
Debauve & Gallais (Michel Cluizel),Venezuela,Venezuela,2008,66%,France,3.75,Venezuela,Venezuela
Desbarres,"Kilombero, batch 41",Tanzania,2016,72%,Canada,2.5,"Kilombero, batch 41",Tanzania
DeVries,Bolivian,Bolivia,2008,80%,U.S.A.,2.75,Bolivian,Bolivia
DeVries,Costa Rica,Costa Rica,2007,77%,U.S.A.,3.5,Costa Rica,Costa Rica
DeVries,Dominican Republic,Dominican Republic,2007,77%,U.S.A.,3.5,Dominican Republic,Dominican Republic
Dick Taylor,Lanquin Estate,Guatemala,2017,70%,U.S.A.,3.75,Lanquin Estate,Guatemala
Dick Taylor,Tien Giang,Vietnam,2016,78%,U.S.A.,3.5,Tien Giang,Vietnam
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",Bolivia,2015,70%,U.S.A.,3.75,"Alto Beni, Wild Harvest, Limited Ed.",Bolivia
Dick Taylor,Elvesia,Dominican Republic,2014,74%,U.S.A.,3.5,Elvesia,Dominican Republic
Dick Taylor,"Ecuador, Choc. Garage Exclusive",Ecuador,2013,70%,U.S.A.,3.25,"Ecuador, Choc. Garage Exclusive",Ecuador
Dick Taylor,Camino Verde,Ecuador,2013,76%,U.S.A.,3.5,Camino Verde,Ecuador
Dick Taylor,Bolivia,Bolivia,2012,75%,U.S.A.,2.75,Bolivia,Bolivia
